acad_term_id,prediction_type,beats_percentage,multiplier,multiplier_type
AY202526T1,min,51,0.027970357393207263,theoretical
AY202526T1,min,52,0.07380885080322068,empirical
AY202526T1,min,52,0.05597248258456582,theoretical
AY202526T1,min,53,0.09708363540714879,empirical
AY202526T1,min,53,0.08403832904978192,theoretical
AY202526T1,min,54,0.11730494495772847,empirical
AY202526T1,min,54,0.11220022418387318,theoretical
AY202526T1,min,55,0.1426838357150949,empirical
AY202526T1,min,55,0.1404910627356158,theoretical
AY202526T1,min,56,0.16383792927751312,empirical
AY202526T1,min,56,0.16894450819428766,theoretical
AY202526T1,min,57,0.1856472697043975,empirical
AY202526T1,min,57,0.19759520509152492,theoretical
AY202526T1,min,58,0.21034635575998661,empirical
AY202526T1,min,58,0.22647900546464725,theoretical
AY202526T1,min,59,0.2369651211730821,empirical
AY202526T1,min,59,0.2556332131034492,theoretical
AY202526T1,min,60,0.2639148685361085,empirical
AY202526T1,min,60,0.28509684968612875,theoretical
AY202526T1,min,61,0.2875089872811961,empirical
AY202526T1,min,61,0.31491094752291243,theoretical
AY202526T1,min,62,0.306083465538017,empirical
AY202526T1,min,62,0.3451188743957605,theoretical
AY202526T1,min,63,0.32806009781497203,empirical
AY202526T1,min,63,0.3757666969454697,theoretical
AY202526T1,min,64,0.3526566567313702,empirical
AY202526T1,min,64,0.40690359026065165,theoretical
AY202526T1,min,65,0.3746080082284056,empirical
AY202526T1,min,65,0.43858230282798816,theoretical
AY202526T1,min,66,0.3964532459378925,empirical
AY202526T1,min,66,0.4708596878904816,theoretical
AY202526T1,min,67,0.41897925233288746,empirical
AY202526T1,min,67,0.5037973146363796,theoretical
AY202526T1,min,68,0.4417388395884137,empirical
AY202526T1,min,68,0.5374621756468457,theoretical
AY202526T1,min,69,0.4699365040063193,empirical
AY202526T1,min,69,0.5719275108533624,theoretical
AY202526T1,min,70,0.4986894256573189,empirical
AY202526T1,min,70,0.6072737731490446,theoretical
AY202526T1,min,71,0.5293150753519777,empirical
AY202526T1,min,71,0.6435897671048842,theoretical
AY202526T1,min,72,0.564956826508679,empirical
AY202526T1,min,72,0.6809740004319277,theoretical
AY202526T1,min,73,0.6016129388576977,empirical
AY202526T1,min,73,0.7195362985531983,theoretical
AY202526T1,min,74,0.6414691157088052,empirical
AY202526T1,min,74,0.759399746811739,theoretical
AY202526T1,min,75,0.6751516689393292,empirical
AY202526T1,min,75,0.8007030437250297,theoretical
AY202526T1,min,76,0.70920478233805,empirical
AY202526T1,min,76,0.8436033741330277,theoretical
AY202526T1,min,77,0.7479049381949372,empirical
AY202526T1,min,77,0.8882799457296521,theoretical
AY202526T1,min,78,0.7932754419147714,empirical
AY202526T1,min,78,0.9349383802103379,theoretical
AY202526T1,min,79,0.8285036314697122,empirical
AY202526T1,min,79,0.9838162169147833,theoretical
AY202526T1,min,80,0.865703178108495,empirical
AY202526T1,min,80,1.0351898811842366,theoretical
AY202526T1,min,81,0.907809806696905,empirical
AY202526T1,min,81,1.089383605233936,theoretical
AY202526T1,min,82,0.9524517107905728,empirical
AY202526T1,min,82,1.146780987447246,theoretical
AY202526T1,min,83,1.001497927556127,empirical
AY202526T1,min,83,1.2078401707709205,theoretical
AY202526T1,min,84,1.0587329341558755,empirical
AY202526T1,min,84,1.2731140683743938,theoretical
AY202526T1,min,85,1.125504878210919,empirical
AY202526T1,min,85,1.343277759286257,theoretical
AY202526T1,min,86,1.187691844538623,empirical
AY202526T1,min,86,1.4191662817376303,theoretical
AY202526T1,min,87,1.2620693014112492,empirical
AY202526T1,min,87,1.5018278594389456,theoretical
AY202526T1,min,88,1.3461515015301626,empirical
AY202526T1,min,88,1.5926006466806717,theoretical
AY202526T1,min,89,1.4389176801708143,empirical
AY202526T1,min,89,1.6932264141790319,theoretical
AY202526T1,min,90,1.5329811132151396,empirical
AY202526T1,min,90,1.8060243225726742,theoretical
AY202526T1,min,91,1.6281823809902796,empirical
AY202526T1,min,91,1.9341665230308194,theoretical
AY202526T1,min,92,1.7459033439437992,empirical
AY202526T1,min,92,2.082134936097814,theoretical
AY202526T1,min,93,1.8845422274499253,empirical
AY202526T1,min,93,2.2565199868408867,theoretical
AY202526T1,min,94,2.0385461276734587,empirical
AY202526T1,min,94,2.46751365767539,theoretical
AY202526T1,min,95,2.2538578979524995,empirical
AY202526T1,min,95,2.7319498712402077,theoretical
AY202526T1,min,96,2.4428707545101838,empirical
AY202526T1,min,96,3.0802463793254944,theoretical
AY202526T1,min,97,2.7104727873031207,empirical
AY202526T1,min,97,3.5750473256879416,theoretical
AY202526T1,min,98,3.1210789598267312,empirical
AY202526T1,min,98,4.375725494306366,theoretical
AY202526T1,min,99,3.8359467627390376,empirical
AY202526T1,min,99,6.099299690443133,theoretical
