SelectedClassNumber,SelectedAcadTerm,Term,Course Code,Section,Description,Grading Basis,class1_day,class1_starttime,class1_venue,class2_day,class2_starttime,class2_venue,class3_day,class3_starttime,class3_venue,exam_startdate,exam_day,exam_starttime,OriginalTerm,StdTerm,key,isDropped,BossLink
2507,2310,2023-24 Term 1,ACCT701,G1,Accounting and Governance – Theory and Practice,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,ACCT701_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2507
2508,2310,2023-24 Term 1,MGMT758,G1,Creativity and Innovation Research: Asian and Global,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,MGMT758_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2508
2509,2310,2023-24 Term 1,BSRM703,G1,Introduction to Business Research: Model Building and Economics of Organizing,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,BSRM703_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2509
2510,2310,2023-24 Term 1,FNCE706,G1,Fundamental Research in Corporate Finance,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,FNCE706_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2510
2511,2310,2023-24 Term 1,MGMT710,G1,Innovation Strategy,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,MGMT710_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2511
2512,2310,2023-24 Term 1,MGMT711,G1,Innovation Development,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,MGMT711_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2512
2513,2310,2023-24 Term 1,MGMT712,G1,Global Strategy and Strategic Management,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,MGMT712_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2513
2514,2310,2023-24 Term 1,MGMT717,G1,Research Methods I,Graded, ,TBA,,,,,,,,,,,2023-24 Term 1,,MGMT717_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2514
2515,2310,2023-24 Term 1,THES721,G1,Dissertation,Pass/Fail,,,,,,,,,,,,,2023-24 Term 1,,THES721_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2515
2516,2310,2023-24 August Term,WRIT600,G1,Effective Communication Skills for Postgraduate Students,Pass/Fail,Fri,08:15,LKCSB Classroom 3-2,,,,,,,,,,2023-24 August Term,,WRIT600_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2516
2517,2310,2023-24 August Term,WRIT600,G2,Effective Communication Skills for Postgraduate Students,Pass/Fail,Fri,12:00,LKCSB Classroom 3-2,,,,,,,,,,2023-24 August Term,,WRIT600_G2_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2517
2518,2310,2023-24 August Term,WRIT600,G3,Effective Communication Skills for Postgraduate Students,Pass/Fail,Fri,12:00,SOE/SCIS2 Classroom 2-2,,,,,,,,,,2023-24 August Term,,WRIT600_G3_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2518
2522,2310,2023-24 Term 1,LAW4057,G1,Comparative Arbitration in East Asia,Graded,Fri,08:15,YPHSL Seminar Room 3-12,,,,,,,,,,2023-24 Term 1,,LAW4057_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2522
2523,2310,2023-24 Term 1,LAW4057,G61,Comparative Arbitration in East Asia,Graded,Fri,08:15,YPHSL Seminar Room 3-12,,,,,,,,,,2023-24 Term 1,,LAW4057_G61_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2523
2527,2310,2023-24 August Term,MKTG624,G6,Marketing Analytics,Graded,Wed,08:15,SMUC Active Learning CR 3-1,,,,,,,,,,2023-24 August Term,,MKTG624_G6_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2527
2528,2310,2023-24 Term 1,LAW101_601,G5,Contract Law 1,Graded,Wed,08:15,YPHSL Seminar Room 2-01,,,,,,,28-Nov-2023,Tue,08:30,2023-24 Term 1,,LAW101_601_G5_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2528
2529,2310,2023-24 Term 1,LAW103_603,G5,Criminal Law,Graded,Thu,13:00,YPHSL Seminar Room 2-05,Fri,12:00,YPHSL Seminar Room 2-15,,,,23-Nov-2023,Thu,08:30,2023-24 Term 1,,LAW103_603_G5_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2529
2532,2310,2023-24 Term 1,SOCG225,G1,International Migration,Graded,Thu,12:00,SOSS/CIS Seminar Room 2-2,,,,,,,,,,2023-24 Term 1,,SOCG225_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2532
2535,2310,2023-24 Session 1,ECON657,G1,Political Economy: Global & Regional,Graded,"Wed, Thu, Sat",TBA,,,,,,,,,,,2023-24 Session 1,,ECON657_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2535
2536,2310,2023-24 Session 1,OBHR605,G1,Leading in a Global Environment,Graded,"Mon, Tue, Fri",TBA,,,,,,,,,,,2023-24 Session 1,,OBHR605_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2536
2537,2310,2023-24 Term 1,COR1301,G11,Leadership and Team Building,Graded,Wed,15:30,LKCSB Classroom 3-3,,,,,,,,,,2023-24 Term 1,,COR1301_G11_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2537
2541,2310,2023-24 August Term,LAW630,G1,Directed Research,Graded, ,TBA,,,,,,,,,,,2023-24 August Term,,LAW630_G1_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2541
2543,2310,2023-24 Term 1,ACCT101,G13,Financial Accounting,Graded,Mon,15:30,SOA Seminar Room 2-5,,,,,,,22-Nov-2023,Wed,08:30,2023-24 Term 1,,ACCT101_G13_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2543
2544,2310,2023-24 Term 1,ACCT101,G14,Financial Accounting,Graded,Tue,15:30,SOA Seminar Room 1-2,,,,,,,22-Nov-2023,Wed,08:30,2023-24 Term 1,,ACCT101_G14_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2544
2545,2310,2023-24 Term 1,COR1703,G9,"Managing in a Volatile, Uncertain, Complex and Ambiguous Context",Graded,Tue,15:30,LKCSB Seminar Room 2-4,,,,,,,01-Dec-2023,Fri,08:30,2023-24 Term 1,,COR1703_G9_None,True,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedAcadTerm=2310&SelectedClassNumber=2545
